,channel,total_spend,attribution_pct,attributed_conversions,cost_per_conversion,beta_coefficient
0,ctv_spend,8242012.084920318,43.98995051065679,82264.7187989248,100.18890485805733,15965.472846350624
1,social_spend,2125986.540566531,0.3879591475254193,725.5145733550564,2930.315418386646,37673.747975375394
2,search_spend,3722935.1656777035,0.3378068617862429,631.7257957919359,5893.27709977492,40072.84472754602
3,linear_tv_spend,11645438.884830061,55.28428348003155,103386.0229822963,112.64036035919683,13397.28432368984
