channel,total_spend,attribution_pct,attributed_conversions,cost_per_conversion,beta_coefficient,current_allocation,optimized_allocation,change,change_pct
ctv_spend,8242012.084920318,53.01150711122769,114217.28166650758,72.16081458658246,2961.59623517717,8242012.084920318,331686.94101402006,-7910325.143906298,-95.97565573070588
social_spend,2125986.540566531,10.321817117440855,22239.13178961908,95.59665191421331,3714.537206960473,2125986.540566531,11530.251496919383,-2114456.2890696116,-99.45765171712485
search_spend,3722935.1656777035,21.01155526662599,45270.977131516476,82.23668675986879,6141.655060904723,3722935.1656777035,104565.8038602887,-3618369.361817415,-97.19130741721487
linear_tv_spend,11645438.884830061,15.655120504705463,33730.13531679711,345.25325129753645,811.6266661573725,11645438.884830061,47147.247397899075,-11598291.637432162,-99.59514409148362
